epoch	train_loss	train_acc	train_grad	valid_loss	valid_acc	test_loss	test_acc	best_epoch	best_valid_acc	best_test_acc
0	1.5536	0.3232	2.023	1.5112	0.3395	1.5287	0.331	0	0.3395	0.331
1	1.4879	0.3578	1.7569	1.4817	0.359	1.5165	0.3428	1	0.359	0.3428
2	1.4591	0.3771	1.8441	1.4854	0.3612	1.4644	0.3737	2	0.3612	0.3737
3	1.4327	0.3919	1.9453	1.4581	0.3808	1.457	0.3786	3	0.3808	0.3786
4	1.4287	0.3953	1.8733	1.4607	0.3766	1.4518	0.3784	3	0.3808	0.3786
5	1.4296	0.3937	1.8798	1.4524	0.3795	1.4164	0.4009	3	0.3808	0.3786
6	1.3976	0.4134	1.9674	1.4651	0.379	1.4301	0.3904	3	0.3808	0.3786
7	1.3902	0.4177	2.0548	1.4444	0.3854	1.3951	0.4064	7	0.3854	0.4064
8	1.3894	0.4178	1.9891	1.424	0.3977	1.4066	0.4007	8	0.3977	0.4007
9	1.376	0.4236	2.0296	1.4247	0.3936	1.4003	0.4094	8	0.3977	0.4007
10	1.3605	0.4339	2.0603	1.4225	0.3976	1.3881	0.4115	8	0.3977	0.4007
11	1.3579	0.4359	2.0508	1.417	0.4028	1.3936	0.409	11	0.4028	0.409
12	1.3498	0.4393	2.1219	1.428	0.3943	1.396	0.4124	11	0.4028	0.409
13	1.3322	0.4504	2.2082	1.4097	0.406	1.3653	0.4272	13	0.406	0.4272
14	1.3361	0.4478	2.2167	1.4167	0.4	1.3815	0.4215	13	0.406	0.4272
15	1.3277	0.4551	2.1919	1.3907	0.412	1.3899	0.4171	15	0.412	0.4171
16	1.3188	0.4568	2.2361	1.4025	0.411	1.3557	0.4321	15	0.412	0.4171
17	1.3148	0.4583	2.2746	1.3721	0.4234	1.3582	0.43	17	0.4234	0.43
18	1.3013	0.4675	2.2273	1.3647	0.4262	1.3684	0.4321	18	0.4262	0.4321
19	1.3168	0.4574	2.2465	1.3858	0.418	1.3493	0.4342	18	0.4262	0.4321
20	1.2889	0.4703	2.2336	1.3689	0.4288	1.3555	0.4331	20	0.4288	0.4331
21	1.2971	0.469	2.3215	1.3648	0.426	1.3365	0.4404	20	0.4288	0.4331
22	1.2952	0.4683	2.3279	1.3642	0.4248	1.3346	0.4442	20	0.4288	0.4331
23	1.2834	0.4733	2.2957	1.3848	0.4217	1.3449	0.4387	20	0.4288	0.4331
24	1.2805	0.4754	2.2965	1.3735	0.4235	1.3687	0.4281	20	0.4288	0.4331
25	1.2724	0.4813	2.3858	1.3542	0.4331	1.3461	0.4357	25	0.4331	0.4357
26	1.2566	0.4893	2.3724	1.3611	0.4317	1.3071	0.4573	25	0.4331	0.4357
27	1.264	0.4834	2.3851	1.365	0.4311	1.3164	0.4471	25	0.4331	0.4357
28	1.2632	0.4845	2.4044	1.3494	0.4354	1.3351	0.4412	28	0.4354	0.4412
29	1.2652	0.4808	2.3844	1.3544	0.4302	1.3279	0.4462	28	0.4354	0.4412
30	1.2558	0.4855	2.4092	1.3705	0.4234	1.3106	0.4491	28	0.4354	0.4412
31	1.2508	0.4885	2.4163	1.3275	0.4464	1.314	0.4537	31	0.4464	0.4537
32	1.2356	0.4955	2.3774	1.3349	0.4436	1.3057	0.4494	31	0.4464	0.4537
33	1.249	0.4928	2.4384	1.3319	0.4457	1.2907	0.4614	31	0.4464	0.4537
34	1.2508	0.49	2.4363	1.3229	0.4483	1.3204	0.4493	34	0.4483	0.4493
35	1.2277	0.5046	2.453	1.3318	0.4468	1.2977	0.461	34	0.4483	0.4493
36	1.2359	0.4957	2.4759	1.3384	0.437	1.302	0.4526	34	0.4483	0.4493
37	1.2283	0.5025	2.5001	1.3383	0.4398	1.3073	0.4538	34	0.4483	0.4493
38	1.2278	0.5025	2.5316	1.3423	0.4405	1.3087	0.4551	34	0.4483	0.4493
39	1.2152	0.5073	2.5394	1.3168	0.4538	1.2733	0.4695	39	0.4538	0.4695
40	1.2187	0.506	2.5706	1.3077	0.4545	1.3098	0.4572	40	0.4545	0.4572
41	1.2179	0.5037	2.5541	1.3263	0.4477	1.3076	0.4541	40	0.4545	0.4572
42	1.2141	0.5073	2.5807	1.306	0.4586	1.267	0.4711	42	0.4586	0.4711
43	1.2202	0.5049	2.5792	1.3575	0.4334	1.3134	0.4553	42	0.4586	0.4711
44	1.2079	0.5092	2.5403	1.3062	0.4614	1.3031	0.4583	44	0.4614	0.4583
45	1.2205	0.5097	2.556	1.3345	0.4461	1.2955	0.4605	44	0.4614	0.4583
46	1.2061	0.5139	2.5785	1.3048	0.4538	1.2945	0.4592	44	0.4614	0.4583
47	1.2091	0.5119	2.5997	1.3462	0.4403	1.3025	0.4551	44	0.4614	0.4583
48	1.2096	0.5126	2.6108	1.3002	0.4591	1.288	0.4622	44	0.4614	0.4583
49	1.2036	0.5109	2.6926	1.3203	0.4524	1.2697	0.4705	44	0.4614	0.4583
50	1.2016	0.5165	2.6826	1.3256	0.4481	1.286	0.464	44	0.4614	0.4583
51	1.1907	0.5214	2.6089	1.3296	0.4477	1.3051	0.4565	44	0.4614	0.4583
52	1.1927	0.5188	2.6751	1.3076	0.4573	1.2716	0.4719	44	0.4614	0.4583
53	1.2079	0.5096	2.6948	1.3141	0.4524	1.2811	0.4706	44	0.4614	0.4583
54	1.1921	0.5197	2.6655	1.2855	0.4645	1.2946	0.4578	54	0.4645	0.4578
55	1.19	0.5218	2.6522	1.3098	0.4542	1.2888	0.4687	54	0.4645	0.4578
56	1.1871	0.521	2.6548	1.286	0.4669	1.2832	0.4646	56	0.4669	0.4646
57	1.1944	0.5187	2.6576	1.2967	0.4617	1.2925	0.4622	56	0.4669	0.4646
58	1.1842	0.5245	2.6791	1.3004	0.4558	1.2509	0.4855	56	0.4669	0.4646
59	1.1808	0.5246	2.7174	1.2897	0.4654	1.2612	0.4757	56	0.4669	0.4646
60	1.1847	0.5242	2.6668	1.3001	0.4566	1.2544	0.4824	56	0.4669	0.4646
61	1.1728	0.5297	2.6921	1.3089	0.4536	1.2842	0.4668	56	0.4669	0.4646
62	1.1857	0.5229	2.7323	1.3416	0.4441	1.3091	0.4507	56	0.4669	0.4646
63	1.1779	0.5275	2.707	1.3188	0.4529	1.2946	0.4575	56	0.4669	0.4646
64	1.1801	0.5259	2.7011	1.2979	0.4617	1.2684	0.472	56	0.4669	0.4646
65	1.176	0.5293	2.7714	1.3127	0.4522	1.2668	0.47	56	0.4669	0.4646
66	1.1663	0.5338	2.6015	1.3004	0.4604	1.288	0.4619	56	0.4669	0.4646
67	1.1716	0.529	2.6297	1.2865	0.4612	1.2709	0.467	56	0.4669	0.4646
68	1.1812	0.5265	2.5868	1.2913	0.464	1.2654	0.4772	56	0.4669	0.4646
69	1.1688	0.5299	2.5826	1.2896	0.4661	1.2775	0.4729	56	0.4669	0.4646
70	1.1641	0.5351	2.5747	1.3142	0.4504	1.2693	0.4719	56	0.4669	0.4646
71	1.1683	0.5314	2.5562	1.3146	0.4543	1.2626	0.4771	56	0.4669	0.4646
72	1.1646	0.5336	2.5925	1.2828	0.4694	1.2793	0.4699	72	0.4694	0.4699
73	1.1571	0.5355	2.6971	1.3146	0.4554	1.2933	0.4661	72	0.4694	0.4699
74	1.1622	0.5356	2.6487	1.2968	0.4626	1.2562	0.4818	72	0.4694	0.4699
75	1.1523	0.5393	2.6994	1.2913	0.4653	1.2782	0.467	72	0.4694	0.4699
76	1.1524	0.538	2.7494	1.2981	0.46	1.2581	0.4784	72	0.4694	0.4699
0	1.5536	0.3232	2.023	1.5112	0.3395	1.5287	0.331	0	0.3395	0.331
